"","DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_COUNTRY","ORIGIN_COUNTRY_NAME","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_COUNTRY","DEST_COUNTRY_NAME","DEST_WAC","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS"
"83",0,1,25740,93,43,0,0,1342,0,0,"AC",19531,"Air Canada","9900A","I","AC","Air Canada",0,0,16217,1621701,36083,"YUL","Montreal, Canada","CA","Canada",941,14027,1402701,34027,"PBI","West Palm Beach/Palm Beach, FL","US","United States",33,6,678,1,2011,2,4,3,"F"
"84",55,55,2119519,8784,7503,184471,0,1552,11976,10965,"CO",19704,"Continental Air Lines Inc.","10220","L","CO","Continental Air Lines Inc.",3,3,14838,1483802,34838,"SJO","San Jose, Costa Rica","CR","Costa Rica",110,12266,1226603,31453,"IAH","Houston, TX","US","United States",74,6,614,1,2011,4,10,4,"F"
"85",82,82,3012882,13088,10335,169047,0,1103,14103,12510,"CO",19704,"Continental Air Lines Inc.","10220","L","CO","Continental Air Lines Inc.",3,3,12010,1201001,32010,"GUA","Guatemala City, Guatemala","GT","Guatemala",127,12266,1226602,31453,"IAH","Houston, TX","US","United States",74,6,614,1,2011,2,4,3,"F"
"86",28,27,1066500,4050,3228,0,0,1097,4572,3912,"US",20355,"US Airways Inc.","12041","L","US","US Airways Inc.",3,3,11868,1186801,31868,"GCM","Grand Cayman, Cayman Islands","KY","Cayman Islands",233,11057,1105702,31057,"CLT","Charlotte, NC","US","United States",36,6,694,1,2011,1,1,3,"F"
"87",5,5,248400,950,901,0,0,1760,1241,1136,"US",20355,"US Airways Inc.","12041","L","US","US Airways Inc.",3,3,11032,1103201,31032,"CUN","Cancun, Mexico","MX","Mexico",148,14107,1410702,30466,"PHX","Phoenix, AZ","US","United States",81,6,622,1,2011,3,9,4,"F"
"88",0,8,291564,1280,983,0,0,1171,0,0,"AM",19534,"Aeromexico","9148B","I","AM","Aeromexico",0,0,13204,1320402,31454,"MCO","Orlando, FL","US","United States",33,13514,1351403,33514,"MTY","Monterrey, Mexico","MX","Mexico",148,6,614,1,2011,3,7,3,"L"
"89",30,29,3074000,7484,4084,376923,540,4769,17464,16817,"UA",19977,"United Air Lines Inc.","10877","P","UA","United Air Lines Inc.",3,3,14747,1474702,30559,"SEA","Seattle, WA","US","United States",93,13744,1374401,32169,"NRT","Tokyo, Japan","JP","Japan",736,6,627,1,2011,2,4,10,"F"
"90",30,29,1000500,3973,3310,0,0,1426,6022,5470,"FL",20437,"AirTran Airways Corporation","06030","D","FL","AirTran Airways Corporation",3,3,13180,1318001,33180,"MBJ","Montego Bay, Jamaica","JM","Jamaica",243,10821,1082103,30852,"BWI","Baltimore, MD","US","United States",35,6,612,1,2011,1,2,3,"F"
"91",0,2,252000,0,0,208547,0,4095,1106,1030,"PRQ",20149,"Florida West Airlines Inc.","16198","I","PRQ","Florida West Airlines Inc.",1,1,13303,1330303,32467,"MIA","Miami, FL","US","United States",33,11204,1120402,31204,"CWB","Curitiba, Brazil","BR","Brazil",316,6,626,2,2011,3,8,9,"P"
"92",30,30,2973401,0,0,562115,0,2089,8385,7695,"ABX",20453,"ABX Air Inc","11009","A","ABX","ABX Air Inc",2,2,14286,1428602,34286,"PTY","Panama City, Panama","PA","Panama",162,11193,1119302,33105,"CVG","Cincinnati, OH","US","United States",52,6,625,2,2011,4,12,5,"G"
"93",0,7,1769360,0,0,1488396,0,4118,3340,3110,"5Y",20007,"Atlas Air Inc.","16087","I","5Y","Atlas Air Inc.",3,3,13303,1330303,32467,"MIA","Miami, FL","US","United States",33,14717,1471704,34717,"SCL","Santiago, Chile","CL","Chile",324,8,819,2,2011,4,11,9,"P"
"94",1,1,51700,183,178,0,0,1480,229,206,"US",20355,"US Airways Inc.","12041","L","US","US Airways Inc.",3,3,13180,1318002,33180,"MBJ","Montego Bay, Jamaica","JM","Jamaica",243,14100,1410002,34100,"PHL","Philadelphia, PA","US","United States",23,6,699,1,2011,3,9,3,"F"
"95",0,2,501534,0,0,444736,0,4298,954,880,"WO",20095,"World Airways Inc.","16931","I","WO","World Airways Inc.",2,2,13930,1393002,30977,"ORD","Chicago, IL","US","United States",41,12125,1212502,32125,"HHN","Hahn, Germany","DE","Germany",429,8,819,2,2011,3,9,9,"P"
"96",31,28,345800,1400,950,1,0,875,3947,3440,"MQ",20398,"Envoy Air","16820","L","MQ","American Eagle Airlines Inc.",3,3,11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","US","United States",74,13594,1359402,33594,"MZT","Mazatlan, Mexico","MX","Mexico",148,6,675,1,2011,3,8,2,"F"
"97",4,4,82560,304,222,0,0,1486,865,742,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,14869,1486902,34614,"SLC","Salt Lake City, UT","US","United States",87,11874,1187401,31874,"GDL","Guadalajara, Mexico","MX","Mexico",148,6,638,1,2011,1,1,3,"F"
"98",1,1,1850,6,1,0,0,205,120,115,"KAH",20272,"Kenmore Air Harbor","06927","D","KAH","Kenmore Air Harbor",1,6,16007,1600701,36007,"YBL","Campbell River, Canada","CA","Canada",906,12652,1265201,30559,"KEH","Kenmore, WA","US","United States",93,0,40,4,2011,2,6,1,"F"
"99",7,7,547110,1520,1138,81330,0,4229,3956,3749,"DL",19790,"Delta Air Lines Inc.","10261","A","DL","Delta Air Lines Inc.",3,3,12966,1296602,30730,"LGW","London, United Kingdom","GB","United Kingdom",493,10397,1039703,30397,"ATL","Atlanta, GA","US","United States",34,6,626,1,2011,1,2,9,"F"
"100",47,46,575000,2300,1786,0,0,413,4142,2982,"9E",20363,"Endeavor Air Inc.","07024","D","9E","Pinnacle Airlines Inc.",2,2,11193,1119302,33105,"CVG","Cincinnati, OH","US","United States",52,16271,1627102,36106,"YYZ","Toronto, Canada","CA","Canada",936,6,629,1,2011,3,8,1,"F"
