"","ItinID","MktID","SeqNum","Coupons","Year","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Quarter","Origin","OriginCountry","OriginStateFips","OriginState","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCountry","DestStateFips","DestState","DestStateName","DestWac","Break","CouponType","TkCarrier","OpCarrier","RPCarrier","Passengers","FareClass","Distance","DistanceGroup","Gateway","ItinGeoType","CouponGeoType"
"58",2001129,2001153,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",2,"X",1974,4,0,2,2
"59",2001129,2001154,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",2,"X",1562,4,0,2,2
"60",2001129,2001154,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",2,"X",569,2,0,2,2
"61",2001130,2001155,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"62",2001130,2001156,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",1,"X",1562,4,0,2,2
"63",2001130,2001156,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",569,2,0,2,2
"64",2001131,2001157,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"65",2001131,2001158,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",1,"X",1562,4,0,2,2
"66",2001131,2001158,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",569,2,0,2,2
"67",2001132,2001159,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"68",2001132,2001160,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",1,"X",1562,4,0,2,2
"69",2001132,2001160,3,3,2001,11298,1129802,30194,1,"DFW","US","48","TX","Texas",74,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",569,2,0,2,2
"70",2001133,2001161,1,3,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"71",2001133,2001162,2,3,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,11298,1129802,30194,"DFW","US","48","TX","Texas",74,NA,"A","AA","AA","AA",1,"X",1562,4,0,2,2
