Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,V110
2011,1,1,5,3,2011-01-05,US,20355,US,N107US,707,14100,1410001,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1755,1754,-1,0,0,-1,1700-1759,21,1815,1901,9,1921,1910,-11,0,0,-1,1900-1959,0,"",0,146,136,106,1,678,3,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,18,2,2011-01-18,DL,19790,DL,N324NB,1564,11278,1127801,30852,DCA,"Washington, DC",VA,51,Virginia,38,13303,1330302,32467,MIA,"Miami, FL",FL,12,Florida,33,1535,1608,33,33,1,2,1500-1559,20,1628,1851,10,1813,1901,48,48,1,3,1800-1859,0,"",0,158,173,143,1,920,4,0,0,15,0,33,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,28,5,2011-01-28,DL,19790,DL,N976DL,1892,15304,1530401,33195,TPA,"Tampa, FL",FL,12,Florida,33,11433,1143301,31295,DTW,"Detroit, MI",MI,26,Michigan,43,1143,,,,,,1100-1159,,,,,1430,,,,,,1400-1459,1,A,0,167,,,1,983,4,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,21,5,2011-01-21,OO,20304,OO,N706SK,1130,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,12266,1226602,31453,IAH,"Houston, TX",TX,48,Texas,74,1805,1805,0,0,0,0,1800-1859,21,1826,2000,14,2009,2014,5,5,0,0,2000-2059,0,"",0,124,129,94,1,643,3,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,29,6,2011-01-29,HA,19690,HA,N490HA,313,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12982,1298201,32982,LIH,"Lihue, HI",HI,15,Hawaii,2,1731,1730,-1,0,0,-1,1700-1759,14,1744,1806,7,1808,1813,5,5,0,0,1800-1859,0,"",0,37,43,22,1,102,1,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,16,7,2011-01-16,OO,20304,OO,N941SW,6487,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,15376,1537601,30436,TUS,"Tucson, AZ",AZ,4,Arizona,81,1153,1149,-4,0,0,-1,1100-1159,23,1212,1415,5,1417,1420,3,3,0,0,1400-1459,0,"",0,84,91,63,1,451,2,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,12,3,2011-01-12,DL,19790,DL,N613DL,187,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1800,,,,,,1800-1859,,,,,2103,,,,,,2100-2159,1,B,0,363,,,1,2248,9,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,10,1,2011-01-10,MQ,20398,MQ,N806MQ,4336,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11612,1161202,31612,EVV,"Evansville, IN",IN,18,Indiana,42,850,846,-4,0,0,-1,0800-0859,13,859,948,1,1000,949,-11,0,0,-1,1000-1059,0,"",0,70,63,49,1,273,2,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,26,3,2011-01-26,WN,19393,WN,N235WN,615,14679,1467902,33570,SAN,"San Diego, CA",CA,6,California,91,13796,1379601,32457,OAK,"Oakland, CA",CA,6,California,91,1030,1027,-3,0,0,-1,1000-1059,10,1037,1144,5,1200,1149,-11,0,0,-1,1200-1259,0,"",0,90,82,67,1,446,2,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,15,6,2011-01-15,FL,20437,FL,N344AT,540,10397,1039703,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1040,1038,-2,0,0,-1,1000-1059,19,1057,1226,3,1305,1229,-36,0,0,-2,1300-1359,0,"",0,265,231,209,1,1587,7,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,18,2,2011-01-18,WN,19393,WN,N242WN,761,11884,1188401,31884,GEG,"Spokane, WA",WA,53,Washington,93,14057,1405701,34057,PDX,"Portland, OR",OR,41,Oregon,92,1000,957,-3,0,0,-1,1000-1059,7,1004,1054,3,1110,1057,-13,0,0,-1,1100-1159,0,"",0,70,60,50,1,279,2,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,21,5,2011-01-21,AA,19805,AA,N335AA,32,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,1345,1442,57,57,1,3,1300-1359,27,1509,2259,5,2205,2304,59,59,1,3,2200-2259,0,"",0,320,322,290,1,2475,10,0,0,2,0,57,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,14,5,2011-01-14,WN,19393,WN,N362SW,455,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,14893,1489301,33192,SMF,"Sacramento, CA",CA,6,California,91,2040,2039,-1,0,0,-1,2000-2059,10,2049,2128,4,2145,2132,-13,0,0,-1,2100-2159,0,"",0,125,113,99,1,647,3,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,24,1,2011-01-24,OO,20304,OO,N805SK,4590,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,830,841,11,11,0,0,0800-0859,18,859,959,7,958,1006,8,8,0,0,0900-0959,0,"",0,88,85,60,1,390,2,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,7,5,2011-01-07,DL,19790,DL,N345NW,2344,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,11193,1119301,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,10,5,-5,0,0,-1,0001-0559,11,16,628,8,642,636,-6,0,0,-1,0600-0659,0,"",0,212,211,192,1,1678,7,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,15,6,2011-01-15,MQ,20398,MQ,N933MQ,4372,10529,1052902,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,710,724,14,14,0,0,0700-0759,19,743,906,11,900,917,17,17,1,1,0900-0959,0,"",0,170,173,143,1,783,4,0,14,3,0,0,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,30,7,2011-01-30,OO,20304,OO,N952SW,6896,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,10627,1062701,30627,BIS,"Bismarck/Mandan, ND",ND,38,North Dakota,66,1606,1629,23,23,1,1,1600-1659,14,1643,1850,6,1839,1856,17,17,1,1,1800-1859,0,"",0,93,87,67,1,517,3,0,0,0,0,17,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,4,2,2011-01-04,US,20355,US,N652AW,184,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,11697,1169702,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,1615,1609,-6,0,0,-1,1600-1659,16,1625,2200,4,2220,2204,-16,0,0,-2,2200-2259,0,"",0,245,235,215,1,1972,8,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
