"","PASSENGERS","FREIGHT","MAIL","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS"
"61",2293,14648,0,1468,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,13796,1379601,32457,"OAK","Oakland, CA","CA","06","California",91,11259,1125902,30194,"DAL","Dallas, TX","TX","48","Texas",74,2011,1,1,3,"F"
"62",16143,15218,127507,678,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,14100,1410002,34100,"PHL","Philadelphia, PA","PA","42","Pennsylvania",23,13930,1393002,30977,"ORD","Chicago, IL","IL","17","Illinois",41,2011,4,11,2,"F"
"63",162,0,0,2433,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11618,1161801,31703,"EWR","Newark, NJ","NJ","34","New Jersey",21,14057,1405701,34057,"PDX","Portland, OR","OR","41","Oregon",92,2011,1,2,5,"F"
"64",8,0,0,34,"H6",20336,"Hageland Aviation Service","06984","D","H6","Hageland Aviation Service",1,5,12087,1208701,32087,"HCR","Holy Cross, AK","AK","02","Alaska",1,10313,1031301,30313,"ANV","Anvik, AK","AK","02","Alaska",1,2011,1,1,1,"F"
"65",4152,0,0,696,"9E",20363,"Endeavor Air Inc.","07024","D","9E","Pinnacle Airlines Inc.",2,2,10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,12191,1219101,31453,"HOU","Houston, TX","TX","48","Texas",74,2011,1,2,2,"F"
"66",4001,0,0,2541,"AS",19930,"Alaska Airlines Inc.","06031","D","AS","Alaska Airlines Inc.",3,3,14679,1467902,33570,"SAN","San Diego, CA","CA","06","California",91,13830,1383001,33830,"OGG","Kahului, HI","HI","15","Hawaii",2,2011,1,1,6,"F"
"67",8450,0,0,1021,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,11042,1104201,30647,"CLE","Cleveland, OH","OH","39","Ohio",44,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,2011,2,5,3,"F"
"68",2273,0,0,317,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.","06944","D","C5","Commutair Aka Champlain Enterprises, Inc.",1,6,11042,1104202,30647,"CLE","Cleveland, OH","OH","39","Ohio",44,15096,1509602,35096,"SYR","Syracuse, NY","NY","36","New York",22,2011,4,10,1,"F"
"69",228,0,0,141,"9K",20253,"Cape Air","07021","D","9K","Cape Air",1,6,10361,1036102,30361,"ART","Watertown, NY","NY","36","New York",22,10257,1025702,30257,"ALB","Albany, NY","NY","36","New York",22,2011,3,9,1,"F"
"70",3,4974,0,73,"8E",20331,"Bering Air Inc.","06992","D","8E","Bering Air Inc.",1,5,13873,1387302,33873,"OME","Nome, AK","AK","02","Alaska",1,11941,1194102,31941,"GLV","Golovin, AK","AK","02","Alaska",1,2011,4,12,1,"L"
